,x_true,y_true,x_pred,y_pred,x_naive,y_naive,ontrack_error,offtrack_error,ontrack_error_naive,offtrack_error_naive,heading,base_url
302,391823.7879682302,4937960.468975469,392108.67781684786,4937832.684611055,389380.09725305485,4938981.713172296,312.2355995622782,1.1641532182693481e-10,-2621.062141779555,425.6327980535336,300.35077229377043,gs://gcp-public-data-sentinel-2/tiles/35/T/LK/S2B_MSIL1C_20220806T091559_N0400_R093_T35TLK_20220806T095951.SAFE
303,339976.2222882675,4863937.620571268,339918.937872678,4863807.139735102,340252.1148975059,4863265.055118969,-142.50176446637565,0.0,-365.0238989126304,595.1318392271879,243.434948822922,gs://gcp-public-data-sentinel-2/tiles/20/T/LP/S2A_MSIL1C_20220806T151701_N0400_R025_T20TLP_20220806T202809.SAFE
304,790909.0898729806,5223932.988698561,790884.3500468072,5224019.972929461,793057.2395159744,5223116.580041453,-90.43403908032057,1.1641532182693481e-10,2298.1065112471283,1.3436049491138655,295.46861509308496,gs://gcp-public-data-sentinel-2/tiles/33/T/YN/S2A_MSIL1C_20220807T093601_N0400_R036_T33TYN_20220807T114031.SAFE
305,570258.9308424019,5510574.847412247,570288.8254020532,5510535.448477502,569808.6614054587,5510308.122534116,49.45665532364532,0.0,-313.1519511953839,396.5367829427173,293.46522648964066,gs://gcp-public-data-sentinel-2/tiles/32/U/NA/S2B_MSIL1C_20220807T102559_N0400_R108_T32UNA_20220807T123443.SAFE
306,405139.5180072235,5178288.046578679,405374.2306244778,5178139.287464469,404511.1377817334,5178801.729263723,277.88358490386446,-5.820766091346741e-11,-797.250067780738,-176.33655809063058,297.27846749885623,gs://gcp-public-data-sentinel-2/tiles/34/T/DS/S2A_MSIL1C_20220807T093601_N0400_R036_T34TDS_20220807T114031.SAFE
307,311914.3426123267,6101820.26789228,311868.62814470875,6101937.55962484,312084.92055285734,6100669.002969715,-125.88551575336244,1.1641532182693481e-10,899.3695565523194,798.9157468314529,310.0382092898091,gs://gcp-public-data-sentinel-2/tiles/31/U/CB/S2A_MSIL1C_20220807T112131_N0400_R037_T31UCB_20220807T145932.SAFE
308,582435.5870775557,4744127.574726861,582610.7511951434,4743997.781800634,579896.3177667696,4745118.6918571675,218.0107148483929,-2.3283064365386963e-10,-2696.6064068862624,383.0226002257408,300.7354877019201,gs://gcp-public-data-sentinel-2/tiles/32/T/NN/S2A_MSIL1C_20220809T102041_N0400_R065_T32TNN_20220809T153907.SAFE
309,297823.3245445688,6609949.53767733,297829.7131072389,6609895.761407615,297477.7021458879,6610108.275232172,-54.15441734043194,-1.1641532182693481e-10,378.62921997735737,-14.26232244280229,120.24045953440827,gs://gcp-public-data-sentinel-2/tiles/32/V/KM/S2A_MSIL1C_20220811T105631_N0400_R094_T32VKM_20220811T144330.SAFE
310,408331.5102598766,5401381.403834261,408271.4758889144,5401391.007368043,407326.3502659527,5401563.975827834,60.79764434522146,0.0,1012.1608141194339,-120.05955708584474,106.84179803241064,gs://gcp-public-data-sentinel-2/tiles/31/U/DQ/S2B_MSIL1C_20220813T104629_N0400_R051_T31UDQ_20220813T113233.SAFE
311,330436.02771644015,4604525.227536343,330416.66601107444,4604539.01670813,331883.00278195017,4603330.5371487355,-23.770083997311975,0.0,1860.371956924365,240.0538669977972,301.16717264610224,gs://gcp-public-data-sentinel-2/tiles/33/T/UG/S2A_MSIL1C_20220813T095601_N0400_R122_T33TUG_20220813T134227.SAFE
